"date","close","volume","open","high","low"
"2017/01/31","137.5800","3225224.0000","137.6300","138.6150","136.8500"
"2017/01/30","138.4700","2704897.0000","137.9900","138.4900","136.8600"
"2017/01/27","138.3300","3145823.0000","138.8000","138.8300","137.7000"
"2017/01/26","138.4600","2931349.0000","138.0100","139.1800","137.7100"
"2017/01/25","137.4800","3630775.0000","138.4500","139.3700","137.4300"
"2017/01/24","138.0600","4050949.0000","137.8800","138.3800","137.3000"
"2017/01/23","138.0700","7037949.0000","135.3100","138.2700","135.0000"
"2017/01/20","135.6000","4853602.0000","135.2600","136.0000","134.6000"
"2017/01/19","135.3900","5078525.0000","136.0000","136.7800","134.9300"
"2017/01/18","136.1600","3869676.0000","135.9000","136.2950","134.9200"
"2017/01/17","135.9300","3976936.0000","135.0900","136.4800","134.7600"
"2017/01/13","135.0400","3117699.0000","134.9200","135.7500","134.7600"
"2017/01/12","135.0700","3600179.0000","135.5100","135.5300","133.9400"
"2017/01/11","135.7000","4641181.0000","136.1000","136.3850","134.7400"
"2017/01/10","136.1000","5927979.0000","134.0000","136.3800","133.7700"
"2017/01/09","134.3100","4307454.0000","133.2200","134.7600","133.1400"
"2017/01/06","133.5300","3824085.0000","133.9700","134.3300","133.0500"
"2017/01/05","133.9000","3713445.0000","134.9800","135.4600","133.7801"
"2017/01/04","135.5000","4050888.0000","134.3400","135.9400","134.2100"
"2017/01/03","134.3100","5300408.0000","135.1000","135.5100","133.5890"
"2016/12/30","134.0800","4149055.0000","135.6400","135.8200","133.8300"
"2016/12/29","135.1000","2777884.0000","135.0200","135.8499","134.6300"
"2016/12/28","135.0700","3321745.0000","135.5700","135.8600","134.6600"
"2016/12/27","135.2600","2254679.0000","134.7600","135.7200","134.7100"
"2016/12/23","135.0500","2337535.0000","135.6500","135.9900","134.7900"
"2016/12/22","135.4300","4094479.0000","136.2500","137.0000","135.1800"
"2016/12/21","136.8300","2705503.0000","136.9300","137.2400","136.5600"
